"","date","quarter","country","gdp","capital","labor_force","y","k","sk","gy","gk","gn","ga","year","qt"
"1",2019,"Q1 2019","Argentina",172581,30287.5,12974.984,13.3010568645017,2.33429960298988,0.175497302715826,-0.0135093749619939,-0.107240279400367,-0.000680385384329858,0.00587198439983488,2019,"2019 1 Q"
"2",2019.25,"Q2 2019","Argentina",173014.5,30221.8,13276.293,13.0318380288835,2.27637338223855,0.174677844920512,-0.0202404093419603,-0.0248152467991387,0.0232223022394478,-0.0350716160400844,2019,"2019 2 Q"
"3",2019.5,"Q3 2019","Argentina",174148.1,30964,13496.61,12.9030993708791,2.29420573017965,0.177802686334218,-0.00987877977911655,0.00783366563685853,0.0165947678316531,-0.0249158001052865,2019,"2019 3 Q"
"4",2019.75,"Q4 2019","Argentina",174420.7,30400.7,13217.549,13.1961455183559,2.30002551910343,0.174295252799696,0.022711298971955,0.00253673367092504,-0.020676377253251,0.0393417411884094,2019,"2019 4 Q"
"5",2020,"Q1 2020","Argentina",171463.1,27747.7,13432.354,12.7649330861888,2.06573620677359,0.161828988277944,-0.0326771504275511,-0.101863788198824,0.0162515001835816,-0.0298141729920503,2020,"2020 1 Q"
"6",2020.25,"Q2 2020","Argentina",164714.5,24934.7,13428.397,12.2661327334901,1.85686348117352,0.151381329512581,-0.0390758298011269,-0.101112971208605,-0.000294587233183291,-0.0235192215624344,2020,"2020 2 Q"
"7",2020.5,"Q3 2020","Argentina",139809.8,19341,10979.688,12.7334947951162,1.76152546411155,0.138337941975455,0.0381018265316911,-0.0513435791206982,-0.182353038862345,0.202331286354061,2020,"2020 3 Q"
"8",2020.75,"Q4 2020","Argentina",156457.9,27622.7,12066.141,12.9666891842222,2.28927376200891,0.176550369140836,0.0183134632603313,0.299597314174248,0.0989511723830404,-0.116061859522631,2020,"2020 4 Q"
"9",2021,"Q1 2021","Argentina",163485.4,32011.2,12934.819,12.6391718353384,2.47480849944634,0.195804640659044,-0.0252583635059534,0.0810452382394898,0.0719930257735261,-0.0990238544885468,2021,"2021 1 Q"
"10",2021.25,"Q2 2021","Argentina",168894.7,33919.2,13320.709,12.6791073958601,2.54635094873704,0.200830458267785,0.00315966592130902,0.0289082768653426,0.0298334286703201,-0.0264879640880502,2021,"2021 2 Q"
"11",2021.5,"Q3 2021","Argentina",167309.2,34265.5,13244.521,12.6323330228402,2.5871452806787,0.204803441771283,-0.00368909037202382,0.0160207028657619,-0.00571951538014982,-0.00242204651349558,2021,"2021 3 Q"
"12",2019,"Q1 2019","Australia",493225,115159,13384.343,36.8508936150247,8.60400842984971,0.23348167671955,-0.00881728426317899,-0.0285298894628734,0.00950360229835697,-0.0094407631336247,2019,"2019 1 Q"
