state,district,year,id,score,demvoteshare,democrat,lagdemocrat,lagdemvoteshare
1,1,1948,3,64.339996337890625,0.5530256032943726,1,0,0.4692559242248535
1,1,1948,4,60.279998779296875,0.5530256032943726,1,0,0.4692559242248535
1,1,1950,5,57.060001373291016,0.5824414491653442,1,1,0.5530256032943726
1,1,1950,6,73.83000183105469,0.5824414491653442,1,1,0.5530256032943726
1,1,1954,7,42.959999084472656,0.5696260333061218,1,1,0.5396804213523865
1,1,1954,8,74.30999755859375,0.5696260333061218,1,1,0.5396804213523865
1,1,1956,9,48.83000183105469,0.4630407989025116,0,1,0.5696260333061218
1,1,1956,10,36.58000183105469,0.4630407989025116,0,1,0.5696260333061218
1,1,1958,11,73.04000091552734,0.5434107780456543,1,0,0.4630407989025116
1,1,1958,12,68.04000091552734,0.5434107780456543,1,0,0.4630407989025116
1,1,1960,13,67.33000183105469,0.58458012342453,1,1,0.5434107780456543
1,1,1964,15,76.589996337890625,0.6996791362762451,1,1,0.5782586336135864
1,1,1964,16,73.62000274658203,0.6996791362762451,1,1,0.5782586336135864
1,1,1966,17,84.81999969482422,0.584674060344696,1,1,0.6996791362762451
1,1,1966,18,78.69000244140625,0.584674060344696,1,1,0.6996791362762451
1,1,1968,19,70.55999755859375,0.6261417865753174,1,1,0.584674060344696
1,1,1968,20,77.45999908447266,0.6261417865753174,1,1,0.584674060344696
1,1,1970,21,69.63999938964844,0.5033175349235535,1,1,0.6261417865753174
1,1,1970,22,72.48999786376953,0.5033175349235535,1,1,0.6261417865753174
1,1,1974,23,87.089996337890625,0.6356684565544128,1,1,0.5760570168495178
1,1,1974,24,68.33000183105469,0.6356684565544128,1,1,0.5760570168495178
1,1,1976,25,63.959999084472656,0.5772132277488708,1,1,0.6356684565544128
1,1,1976,26,64.23999786376953,0.5772132277488708,1,1,0.6356684565544128
1,1,1978,27,68.339996337890625,0.6023613810539246,1,1,0.5772132277488708
1,1,1978,28,47,0.6023613810539246,1,1,0.5772132277488708
1,1,1980,29,2.200000047683716,0.6304118037223816,1,1,0.6023613810539246
1,1,1984,31,91.87000274658203,0.6193041205406189,1,1,0.6858654022216797
1,1,1984,32,83.55000305175781,0.6193041205406189,1,1,0.6858654022216797
1,1,1986,33,83.68000030517578,0.7450361847877502,1,1,0.6193041205406189
1,1,1986,34,77.910003662109375,0.7450361847877502,1,1,0.6193041205406189
1,1,1988,35,89.98999786376953,0.7724427580833435,1,1,0.7450361847877502
1,1,1988,36,81.11000061035156,0.7724427580833435,1,1,0.7450361847877502
1,1,1990,37,81.94000244140625,0.7140294313430786,1,1,0.7724427580833435
