"minute","avg_delay_actual_dep","avg_delay_sched_dep","n_scheduled"
0,5.26095478090438,3.51778562215736,59019
1,8.93670162059104,11.7093525179856,2085
2,9.59485972140475,7.50488997555012,818
3,9.18574514038877,15.9029688631427,1381
4,10.460456583775,10.2178517397882,1323
5,8.81853888452475,7.06822498173849,13720
6,10.4527141645462,12.6090841399851,1345
7,10.2831364124597,8.88940955951265,1068
8,10.8866260760025,7.70516717325228,1649
9,10.6610591900312,13.5794725588026,1411
10,9.68606985146527,6.3011673151751,14162
11,11.2959480635773,9.77694235588972,1203
12,11.0803067899842,10.1377737226277,1098
13,11.5212888377445,7.21968616262482,702
14,11.4532896277218,6.63077939233818,1518
15,11.8365427675773,5.43664579362919,18393
16,11.0958665338645,17.0357142857143,1009
17,12.5886717783824,6.71973307912297,1051
18,11.0642789373814,7.65245478036176,774
19,10.4334090909091,12.4158473105842,1730
20,8.25597609561753,7.08077640278013,11823
21,8.06516290726817,12.8001502629602,1335
22,5.56570898980538,9.61670761670762,1228
23,4.23988188292513,14.3615295480881,864
24,4.62283075943321,11.3579931972789,1179
25,3.66584552963339,6.74362081254455,14057
26,3.62599510104103,10.97320471597,934
27,3.73631284916201,15.6515580736544,1062
28,6.87214687396626,9.63775100401606,1247
29,6.75176233635448,9.80829554746153,13482
30,8.25433631550119,6.30527048708867,33104
31,10.0069867027271,10.6440972222222,1155
32,12.102081934184,7.93415637860082,1221
33,12.0728212356119,8.80817253121453,883
34,12.3806896551724,8.95499618611747,1315
35,10.3488843813387,8.07988554636146,12956
36,11.2180197542761,13.2845238095238,1683
37,11.2049602246139,7.13774973711882,951
38,10.2851203501094,13.0985027580772,1270
39,8.07012871726587,9.12076583210604,1363
40,9.10430064308682,8.51505703422053,13180
41,8.13303964757709,8.48956158663883,965
42,9.26200969590128,13.8890942698706,1086
43,9.71551914987824,7.27632763276328,1114
44,9.46622222222222,8.27339449541284,1637
45,8.67560321715818,5.30265210608424,19923
46,10.4537775692163,8.13010204081633,1571
47,7.36327944572748,8.09644322845417,1468
48,8.31068972702646,6.05822416302766,1382
49,5.42811016144349,7.75318066157761,1573
50,4.95375909458367,6.56628289473684,12186
51,3.39721362229102,9.72554112554113,1158
52,-0.0680345572354212,7.06394884092726,1253
53,-0.979201530002391,6.63220088626292,1360
54,-0.509573216386779,11.295154185022,1364
55,-0.669350029815146,7.67998906506288,18347
56,0.116823452198644,5.8006006006006,1667
57,1.20351985559567,4.89662921348315,1337
58,2.80228136882129,6.90944123314066,1039
59,4.94308617234469,8.817980653727,15882
