id_county,year,pop,emp,yr_raise
8001,2003,363856.99999999994,4728.999999999997,2007
8001,2004,363856.99999999994,4174.999999999999,2007
8001,2005,363856.99999999994,4189.000000000001,2007
8001,2006,363856.99999999994,4350.999999999996,2007
8001,2007,363856.99999999994,4852.999999999996,2007
8019,2003,9321.999999999998,147.99999999999994,2007
8019,2004,9321.999999999998,161.00000000000003,2007
8019,2005,9321.999999999998,119.99999999999997,2007
8019,2006,9321.999999999998,146.99999999999997,2007
8019,2007,9321.999999999998,154.00000000000006,2007
8023,2003,3663,9.000000000000002,2007
8023,2004,3663,10.000000000000002,2007
8023,2005,3663,15.999999999999998,2007
8023,2006,3663,6.999999999999999,2007
8023,2007,3663,19.999999999999996,2007
8029,2003,27834,358.9999999999999,2007
8029,2004,27834,327,2007
8029,2005,27834,349.9999999999999,2007
8029,2006,27834,402.99999999999983,2007
8029,2007,27834,447.9999999999999,2007
8041,2003,516929.0000000001,7852.999999999994,2007
8041,2004,516929.0000000001,7448.000000000003,2007
8041,2005,516929.0000000001,7338.999999999994,2007
8041,2006,516929.0000000001,7351.9999999999945,2007
8041,2007,516929.0000000001,7193.999999999995,2007
8063,2003,8011.000000000001,139.99999999999994,2007
8063,2004,8011.000000000001,129.99999999999997,2007
8063,2005,8011.000000000001,105.99999999999997,2007
8063,2006,8011.000000000001,122.99999999999994,2007
8063,2007,8011.000000000001,137.00000000000003,2007
8075,2003,20504.000000000004,298.00000000000006,2007
8075,2004,20504.000000000004,278.99999999999994,2007
8075,2005,20504.000000000004,305.00000000000006,2007
8075,2006,20504.000000000004,329,2007
8075,2007,20504.000000000004,259.99999999999994,2007
8103,2003,5986.000000000001,85.99999999999997,2007
8103,2004,5986.000000000001,98.00000000000004,2007
8103,2005,5986.000000000001,115.99999999999999,2007
8103,2006,5986.000000000001,135.00000000000003,2007
8103,2007,5986.000000000001,111.99999999999996,2007
8117,2003,23548,588.9999999999999,2007
8117,2004,23548,531,2007
8117,2005,23548,536,2007
8117,2006,23548,591.0000000000002,2007
8117,2007,23548,621,2007
8123,2003,180936,2334,2007
8123,2004,180936,2181.9999999999995,2007
8123,2005,180936,2331.0000000000005,2007
8123,2006,180936,2414.999999999999,2007
8123,2007,180936,2448.0000000000005,2007
12007,2003,26088.000000000004,245.0000000000001,2006
12007,2004,26088.000000000004,269,2006
12007,2005,26088.000000000004,190,2006
12007,2006,26088.000000000004,229.00000000000006,2006
12007,2007,26088.000000000004,230.99999999999994,2006
12019,2003,140814.00000000003,2375.0000000000005,2006
12019,2004,140814.00000000003,2468.000000000001,2006
12019,2005,140814.00000000003,2443.999999999999,2006
12019,2006,140814.00000000003,2600,2006
12019,2007,140814.00000000003,2617.9999999999986,2006
12023,2003,56513.000000000015,1087.0000000000002,2006
12023,2004,56513.000000000015,691.0000000000002,2006
12023,2005,56513.000000000015,728,2006
12023,2006,56513.000000000015,699.9999999999998,2006
12023,2007,56513.000000000015,826.9999999999999,2006
12029,2003,13826.999999999998,46.99999999999999,2006
12029,2004,13826.999999999998,59.000000000000014,2006
12029,2005,13826.999999999998,78,2006
12029,2006,13826.999999999998,74.99999999999997,2006
12029,2007,13826.999999999998,76,2006
12051,2003,36210,617.9999999999998,2006
12051,2004,36210,615.9999999999998,2006
12051,2005,36210,585.9999999999998,2006
12051,2006,36210,609.0000000000001,2006
12051,2007,36210,585.9999999999998,2006
12071,2003,440888,6365.999999999995,2006
12071,2004,440888,6623.999999999995,2006
