Symbol,Company Name,Sector,Industry,Country,Market Cap
MGM,MGM Resorts International,Consumer Discretionary,Resorts & Casinos,United States,13135580155.0
MHK,"Mohawk Industries, Inc.",Consumer Discretionary,"Furnishings, Fixtures & Appliances",United States,7353754691.0
MIDD,The Middleby Corporation,Industrials,Specialty Industrial Machinery,United States,7571482793.0
MKC,"McCormick & Company, Incorporated",Consumer Staples,Packaged Foods,United States,20326894150.0
MKL,Markel Corporation,Financial Services,Insurance - Property & Casualty,United States,18832827478.0
MLCO,Melco Resorts & Entertainment Limited,Consumer Discretionary,Resorts & Casinos,Hong Kong,2810055097.0
MLM,"Martin Marietta Materials, Inc.",Industrials,Building Materials,United States,37401973100.0
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,United States,97534720749.0
MMM,3M Company,Health Care,Conglomerates,United States,50815164230.0
MNST,Monster Beverage Corporation,Consumer Staples,Beverages - Non-Alcoholic,United States,55538755862.0
MO,"Altria Group, Inc.",Health Care,Tobacco,United States,76498971800.0
MOS,The Mosaic Company,Industrials,Agricultural Inputs,United States,9731090375.0
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,United States,71689958841.0
MRK,"Merck & Co., Inc.",Health Care,Drug Manufacturers - General,United States,332282876006.0
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,United States,60290920000.0
MS,Morgan Stanley,Financial Services,Capital Markets,United States,151801956011.0
MSCI,MSCI Inc.,Consumer Discretionary,Financial Data & Stock Exchanges,United States,37851738754.0
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,United States,3019134848567.0
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,United States,57561755257.0
MSM,"MSC Industrial Direct Co., Inc.",Industrials,Industrial Distribution,United States,5248342957.0
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,United States,24390463717.0
MTD,Mettler-Toledo International Inc.,Industrials,Diagnostics & Research,Switzerland,26592569873.0
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,127170153752.0
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary,Travel Services,United States,8104518191.0
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,United States,34581418988.0
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,United States,14892860598.0
NEE,"NextEra Energy, Inc.",Technology,Utilities - Regulated Electric,United States,135578603106.0
NEM,Newmont Corporation,Basic Materials,Gold,United States,49248530167.0
NEU,NewMarket Corporation,Industrials,Specialty Chemicals,United States,5077067312.0
NFLX,"Netflix, Inc.",Consumer Discretionary,Entertainment,United States,241870481899.0
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,United States,12503835340.0
NKE,"NIKE, Inc.",Consumer Discretionary,Footwear & Accessories,United States,142060850915.0
NLY,"Annaly Capital Management, Inc.",Real Estate,REIT - Mortgage,United States,9441515819.0
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,United States,72084654467.0
NOV,NOV Inc.,Industrials,Oil & Gas Equipment & Services,United States,7434846970.0
NOW,"ServiceNow, Inc.",Technology,Software - Application,United States,148327750000.0
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,United States,15146009884.0
NSC,Norfolk Southern Corporation,Industrials,Railroads,United States,54198009030.0
NTAP,"NetApp, Inc.",Technology,Computer Hardware,United States,2091214696.0
NTR,Nutrien Ltd.,Industrials,Agricultural Inputs,Canada,25989295109.0
NTRS,Northern Trust Corporation,Financial Services,Asset Management,United States,17058857947.0
NUE,Nucor Corporation,Industrials,Steel,United States,42231494391.0
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,2193375000000.0
NVR,"NVR, Inc.",Consumer Discretionary,Residential Construction,United States,24364593555.0
NWL,Newell Brands Inc.,Industrials,Household & Personal Products,United States,3227397000.0
NWSA,News Corporation,Consumer Discretionary,Entertainment,United States,13832505547.0
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Netherlands,62242662402.0
NYCB,"New York Community Bancorp, Inc.",Financial Services,Banks - Regional,United States,2369825744.0
O,Realty Income Corporation,Real Estate,REIT - Retail,United States,46250956988.0
OC,Owens Corning,Industrials,Building Products & Equipment,United States,14660534253.0
OGE,OGE Energy Corp.,Utilities,Utilities - Regulated Electric,United States,6775172099.0
OHI,"Omega Healthcare Investors, Inc.",Real Estate,REIT - Healthcare Facilities,United States,7626458083.0
OKE,"ONEOK, Inc.",Utilities,Oil & Gas Midstream,United States,47270904693.0
OMC,Omnicom Group Inc.,Consumer Discretionary,Advertising Agencies,United States,18778490712.0
ON,ON Semiconductor Corporation,Technology,Semiconductors,United States,29083988055.0
ORCL,Oracle Corporation,Technology,Software - Infrastructure,United States,322153325940.0
ORI,Old Republic International Corporation,Financial Services,Insurance - Diversified,United States,8381671537.0
ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary,Specialty Retail,United States,61630062179.0
OTEX,Open Text Corporation,Technology,Software - Application,Canada,9706549366.0
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas Exploration & Production,United States,59612471975.0
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,United States,94157802000.0
PARA,Paramount Global,Industrials,Entertainment,United States,7771097041.0
PARAA,Paramount Global,Industrials,Entertainment,United States,14596090747.0
PAYX,"Paychex, Inc.",Consumer Discretionary,Staffing & Employment Services,United States,43184802020.0
PBA,Pembina Pipeline Corporation,Energy,Oil & Gas Midstream,Canada,19682158680.0
PCAR,PACCAR Inc,Consumer Discretionary,Farm & Heavy Construction Machinery,United States,58654016477.0
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,United States,48973877319.0
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,United States,33814142941.0
PEP,"PepsiCo, Inc.",Consumer Staples,Beverages - Non-Alcoholic,United States,241384922368.0
PFE,Pfizer Inc.,Health Care,Drug Manufacturers - General,United States,143428171995.0
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,United States,18661914691.0
PG,The Procter & Gamble Company,Consumer Discretionary,Household & Personal Products,United States,380666219634.0
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,United States,121838482836.0
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,United States,71093385209.0
PHM,"PulteGroup, Inc.",Consumer Discretionary,Residential Construction,United States,23936932459.0
PII,Polaris Inc.,Consumer Discretionary,Recreational Vehicles,United States,4736398279.0
PKG,Packaging Corporation of America,Consumer Discretionary,Packaging & Containers,United States,15491528969.0
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,United States,96243116860.0
PM,Philip Morris International Inc.,Health Care,Tobacco,United States,147514425847.0
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,United States,62101824364.0
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,Switzerland,13275328855.0
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,United States,8358462674.0
PPG,"PPG Industries, Inc.",Consumer Discretionary,Specialty Chemicals,United States,30522520000.0
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,United States,19930044084.0
PRGO,Perrigo Company plc,Health Care,Drug Manufacturers - Specialty & Generic,United States,4328379092.0
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,United States,39669500000.0
PSA,Public Storage,Real Estate,REIT - Industrial,United States,45280945553.0
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,United States,64776896795.0
PTC,PTC Inc.,Technology,Software - Application,United States,21637789781.0
PVH,PVH Corp.,Consumer Discretionary,Apparel Manufacturing,United States,6405199455.0
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,United States,38136677060.0
PXD,Pioneer Natural Resources Company,Energy,Oil & Gas Exploration & Production,United States,62814248543.0
PYPL,"PayPal Holdings, Inc.",Consumer Discretionary,Credit Services,United States,70692093349.0
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,United States,184876560000.0
QGEN,Qiagen N.V.,Health Care,Diagnostics & Research,Netherlands,9504644746.0
QRVO,"Qorvo, Inc.",Technology,Semiconductors,United States,11272032472.0
QSR,Restaurant Brands International Inc.,Consumer Discretionary,Restaurants,Canada,23052762729.0
RACE,Ferrari N.V.,Consumer Discretionary,Auto Manufacturers,Italy,76219426301.0
RCI,Rogers Communications Inc.,Communication Services,Telecom Services,Canada,20166803039.0
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,Travel Services,United States,36082444167.0
REG,Regency Centers Corporation,Real Estate,REIT - Retail,United States,10757238127.0
REGN,"Regeneron Pharmaceuticals, Inc.",Health Care,Biotechnology,United States,96941706547.0
RF,Regions Financial Corporation,Financial Services,Banks - Regional,United States,18028112622.0
RGA,"Reinsurance Group of America, Incorporated",Financial Services,Insurance - Reinsurance,United States,12413619863.0
RHI,Robert Half International Inc.,Consumer Discretionary,Staffing & Employment Services,United States,7296210793.0
RIG,Transocean Ltd.,Energy,Oil & Gas Drilling,Switzerland,4749011066.0
RJF,"Raymond James Financial, Inc.",Financial Services,Capital Markets,United States,25472105042.0
RL,Ralph Lauren Corporation,Consumer Discretionary,Apparel Manufacturing,United States,10642326563.0
RMD,ResMed Inc.,Health Care,Medical Instruments & Supplies,United States,32074202917.0
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance,Bermuda,11544292438.0
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,United States,32099517203.0
ROL,"Rollins, Inc.",Financial Services,Personal Services,United States,21726441619.0
ROP,"Roper Technologies, Inc.",Industrials,Software - Application,United States,56377224578.0
ROST,"Ross Stores, Inc.",Consumer Discretionary,Apparel Retail,United States,44782616979.0
RPM,RPM International Inc.,Consumer Discretionary,Specialty Chemicals,United States,13826569115.0
RRC,Range Resources Corporation,Energy,Oil & Gas Exploration & Production,United States,9052411206.0
RS,Reliance Steel & Aluminum Co.,Industrials,Steel,United States,16688977014.0
RSG,"Republic Services, Inc.",Utilities,Waste Management,United States,60380062322.0
RVTY,"Revvity, Inc.",Industrials,Diagnostics & Research,United States,12539512130.0
RY,Royal Bank of Canada,Financial Services,Banks - Diversified,Canada,138787045735.0
SABR,Sabre Corporation,Technology,Travel Services,United States,1062546447.0
SATS,EchoStar Corporation,Technology,Communication Equipment,United States,4344296320.0
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,United States,21214165884.0
SBUX,Starbucks Corporation,Consumer Discretionary,Restaurants,United States,99916650000.0
SCCO,Southern Copper Corporation,Basic Materials,Copper,United States,90407865677.0
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,United States,136809432660.0
SCI,Service Corporation International,Consumer Discretionary,Personal Services,United States,10476682830.0
SEE,Sealed Air Corporation,Industrials,Packaging & Containers,United States,4586230641.0
SEIC,SEI Investments Company,Financial Services,Asset Management,United States,8744122944.0
SHW,The Sherwin-Williams Company,Consumer Discretionary,Specialty Chemicals,United States,77980652767.0
SIG,Signet Jewelers Limited,Consumer Discretionary,Luxury Goods,Bermuda,4530434515.0
SIRI,Sirius XM Holdings Inc.,Consumer Discretionary,Entertainment,United States,11604235222.0
SITC,SITE Centers Corp.,Real Estate,REIT - Retail,United States,2822137442.0
SIX,Six Flags Entertainment Corporation,Consumer Discretionary,Leisure,United States,1996347853.0
SJM,The J. M. Smucker Company,Consumer Staples,Packaged Foods,United States,12061542480.0
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,France,70490910631.0
SLF,Sun Life Financial Inc.,Financial Services,Insurance - Diversified,Canada,30207902940.0
SLG,SL Green Realty Corp.,Real Estate,REIT - Office,United States,3279478048.0
SLM,SLM Corporation,Financial Services,Credit Services,United States,4825658759.0
SMG,The Scotts Miracle-Gro Company,Industrials,Agricultural Inputs,United States,3840904138.0
SNA,Snap-on Incorporated,Consumer Discretionary,Tools & Accessories,United States,14270911214.0
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,United States,82931902505.0
SNV,Synovus Financial Corp.,Financial Services,Banks - Regional,United States,5394815089.0
SO,The Southern Company,Utilities,Utilities - Regulated Electric,United States,79873216423.0
SON,Sonoco Products Company,Consumer Discretionary,Packaging & Containers,United States,5545206386.0
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,United States,46394983064.0
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,United States,130596498000.0
SPR,"Spirit AeroSystems Holdings, Inc.",Industrials,Aerospace & Defense,United States,3770576688.0
SQ,"Block, Inc.",Technology,Software - Infrastructure,United States,45856814640.0
SRCL,"Stericycle, Inc.",Industrials,Waste Management,United States,4286782586.0
SRE,Sempra,Utilities,Utilities - Diversified,United States,45084932009.0
SSNC,"SS&C Technologies Holdings, Inc.",Technology,Software - Application,United States,15133714903.0
ST,Sensata Technologies Holding plc,Industrials,Scientific & Technical Instruments,Netherlands,5263436367.0
STLD,"Steel Dynamics, Inc.",Industrials,Steel,United States,21199041780.0
STT,State Street Corporation,Financial Services,Asset Management,United States,22159638676.0
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,Ireland,18026303123.0
STZ,"Constellation Brands, Inc.",Consumer Staples,Beverages - Wineries & Distilleries,United States,47581167714.0
SU,Suncor Energy Inc.,Energy,Oil & Gas Integrated,Canada,51146219180.0
SVC,Service Properties Trust,Real Estate,REIT - Hotel & Motel,United States,1031906161.0
SWK,"Stanley Black & Decker, Inc.",Consumer Discretionary,Tools & Accessories,United States,13797583431.0
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,United States,16711560431.0
SYF,Synchrony Financial,Financial Services,Credit Services,United States,18173703701.0
SYK,Stryker Corporation,Health Care,Medical Devices,United States,127620413122.0
SYY,Sysco Corporation,Consumer Discretionary,Food Distribution,United States,38367738678.0
T,AT&T Inc.,Communication Services,Telecom Services,United States,119809270238.0
TAL,TAL Education Group,Real Estate,Education & Training Services,China,8541488329.0
TAP,Molson Coors Beverage Company,Consumer Staples,Beverages - Brewers,Canada,12543336288.0
TCOM,Trip.com Group Limited,Consumer Discretionary,Travel Services,China,32690981598.0
TD,The Toronto-Dominion Bank,Financial Services,Banks - Diversified,Canada,105227298000.0
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,United States,70016623538.0
TECK,Teck Resources Limited,Basic Materials,Other Industrial Metals & Mining,Canada,26086764000.0
TEF,"Telefónica, S.A.",Communication Services,Telecom Services,Spain,25877061653.0
TEL,TE Connectivity Ltd.,Technology,Electronic Components,Switzerland,43296705967.0
TER,"Teradyne, Inc.",Industrials,Semiconductor Equipment & Materials,United States,17471089677.0
TFX,Teleflex Incorporated,Health Care,Medical Instruments & Supplies,United States,9727045394.0
TGNA,TEGNA Inc.,Industrials,Broadcasting,United States,2384481644.0
TGT,Target Corporation,Consumer Discretionary,Discount Stores,United States,76058844536.0
THO,"Thor Industries, Inc.",Industrials,Recreational Vehicles,United States,5363915982.0
TJX,"The TJX Companies, Inc.",Consumer Discretionary,Apparel Retail,United States,109173362980.0
TMO,Thermo Fisher Scientific Inc.,Industrials,Diagnostics & Research,United States,218720716925.0
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,United States,194598807597.0
TNL,Travel + Leisure Co.,Consumer Discretionary,Travel Services,United States,3253956909.0
TOL,"Toll Brothers, Inc.",Consumer Discretionary,Residential Construction,United States,12523317400.0
TPR,"Tapestry, Inc.",Consumer Discretionary,Luxury Goods,United States,9186114468.0
TRGP,Targa Resources Corp.,Utilities,Oil & Gas Midstream,United States,26077935720.0
TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services,United States,73046876232.0
TRIP,"Tripadvisor, Inc.",Technology,Travel Services,United States,3785346573.0
TRMB,Trimble Inc.,Industrials,Scientific & Technical Instruments,United States,14778083937.0
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,United States,25501324962.0
TRP,TC Energy Corporation,Energy,Oil & Gas Midstream,Canada,37435700000.0
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,United States,48878639522.0
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,United States,29558337567.0
TSLA,"Tesla, Inc.",Consumer Discretionary,Auto Manufacturers,United States,535968378940.0
TSN,"Tyson Foods, Inc.",Consumer Staples,Farm Products,United States,21605399127.0
TT,Trane Technologies plc,Industrials,Building Products & Equipment,Ireland,69150304375.0
TTC,The Toro Company,Consumer Discretionary,Tools & Accessories,United States,9135595000.0
TU,TELUS Corporation,Communication Services,Telecom Services,Canada,23719320000.0
TXN,Texas Instruments Incorporated,Technology,Semiconductors,United States,161380376204.0
TXT,Textron Inc.,Industrials,Aerospace & Defense,United States,16683797896.0
TYG,Tortoise Energy Infrastructure Corporation,Financial Services,Asset Management,United States,377756688.0
UAA,"Under Armour, Inc.",Consumer Discretionary,Apparel Manufacturing,United States,2959911555.0
UAL,"United Airlines Holdings, Inc.",Consumer Discretionary,Airlines,United States,17373973294.0
UBS,UBS Group AG,Financial Services,Banks - Diversified,Switzerland,94734800000.0
UDR,"UDR, Inc.",Real Estate,REIT - Residential,United States,12480885821.0
UGI,UGI Corporation,Utilities,Utilities - Regulated Gas,United States,5318415319.0
UHAL,U-Haul Holding Company,Consumer Discretionary,Rental & Leasing Services,United States,12729375970.0
UHS,"Universal Health Services, Inc.",Health Care,Medical Care Facilities,United States,11162775222.0
ULTA,"Ulta Beauty, Inc.",Consumer Discretionary,Specialty Retail,United States,19615934874.0
UNH,UnitedHealth Group Incorporated,Health Care,Healthcare Plans,United States,456680060893.0
UNM,Unum Group,Financial Services,Insurance - Life,United States,9719538805.0
UNP,Union Pacific Corporation,Industrials,Railroads,United States,148047979740.0
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,United States,125843065273.0
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,United States,46415975932.0
USB,U.S. Bancorp,Financial Services,Banks - Regional,United States,64070446683.0
UTHR,United Therapeutics Corporation,Health Care,Biotechnology,United States,11004640748.0
V,Visa Inc.,Consumer Discretionary,Credit Services,United States,504158643393.0
VFC,V.F. Corporation,Consumer Discretionary,Apparel Manufacturing,United States,4914633684.0
VIPS,Vipshop Holdings Limited,Consumer Discretionary,Internet Retail,China,9216339761.0
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,United States,55125500346.0
VMC,Vulcan Materials Company,Industrials,Building Materials,United States,34543010216.0
VNO,Vornado Realty Trust,Real Estate,REIT - Office,United States,4999659861.0
VOYA,"Voya Financial, Inc.",Financial Services,Financial Conglomerates,United States,6944935029.0
VRSK,"Verisk Analytics, Inc.",Technology,Consulting Services,United States,31709238948.0
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,United States,17705932000.0
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,Biotechnology,United States,102672190704.0
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,United States,17708309476.0
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,United States,166825530538.0
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,United States,29096447815.0
WAT,Waters Corporation,Industrials,Diagnostics & Research,United States,18429777474.0
WBA,"Walgreens Boots Alliance, Inc.",Consumer Staples,Pharmaceutical Retailers,United States,15270026578.0
WCN,"Waste Connections, Inc.",Utilities,Waste Management,Canada,42181014291.0
WDAY,"Workday, Inc.",Technology,Software - Application,United States,66274560000.0
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,23253351403.0
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,United States,25715107450.0
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,United States,53667956086.0
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,United States,214324639426.0
WFRD,Weatherford International plc,Industrials,Oil & Gas Equipment & Services,United States,9254333035.0
WHR,Whirlpool Corporation,Consumer Discretionary,"Furnishings, Fixtures & Appliances",United States,5169299318.0
WLK,Westlake Corporation,Industrials,Specialty Chemicals,United States,19174733757.0
WM,"Waste Management, Inc.",Utilities,Waste Management,United States,84375755978.0
WMB,"The Williams Companies, Inc.",Utilities,Oil & Gas Midstream,United States,47769611753.0
WMT,Walmart Inc.,Consumer Discretionary,Discount Stores,United States,484772208228.0
WPC,W. P. Carey Inc.,Real Estate,REIT - Diversified,United States,12033543933.0
WPM,Wheaton Precious Metals Corp.,Basic Materials,Gold,Canada,24465739716.0
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,United States,19664455479.0
WTRG,"Essential Utilities, Inc.",Utilities,Utilities - Regulated Water,United States,9863339581.0
WTW,Willis Towers Watson PLC,Financial Services,Insurance Brokers,United Kingdom,25717720379.0
WU,The Western Union Company,Consumer Discretionary,Credit Services,United States,4609392620.0
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,United States,22651627050.0
